typical headnoun,proper noun,english
sewi,Jawe,YHWH
sewi,Elowin,Elohim
jan,Jesu,Jesus
jan,Esela,Ezra
jan,Nejemaja,Nehemiah
jan,Ese,Esther
jan,Ijopo,Job
jan,Jesajaju,Isaiah
jan,Imijaju,Jeremiah
jan,Jekeseke,Ezekiel
jan,Tanije,Daniel
jan,Oseja,Hosea
jan,Jowele,Joel
jan,Amo,Amos
jan,Opasija,Obadiah
jan,Jona,Jonah
jan,Mika,Micah
jan,Nakun,Nahum
jan,Apaku,Habakkuk
jan,Sepenija,Zepheniah
jan,Ake,Haggai
jan,Sekelija,Zecheriah
jan,Malaki,Malachi
jan,Salomo,Solomon
jan,Jojusawa,Joshua
jan,Sila,Sirach
jan,Palu,Baruch
jan,Asalija,Azariah
jan,Susana,Susanna
jan,Pele,Bel
kulupu jan,Makapi,Maccabees
jan,Etesa,Esdras
jan,Manase,Mannasseh
jan,Atan,Adam
jan,Sese,Seth
jan,Enoso,Enosh
jan,Kenan,Kenan
jan,Malalali,Mahalaleel
jan,Jalete,Jared
jan,Enoko,Enoch
jan,Mesusale,Methusaleh
jan,Lameke,Lamech
jan,Nowa,Noah
jan,Sen,Shem
jan,An,Ham
jan,Japete,Japeth
jan,Mose ,Moses
jan,Kome,Gomer
jan,Makuku,Magog
jan,Mate,Madai
jan,Jawan,Javan
jan,Tupa,Tubal
jan,Meseke,Meshech
jan,Akasewe,Ahasuerus
jan,Wasi,Vashti
jan,Moteka,Mordecai
jan,Jako,Jacob
jan,Ijowani,John
jan,Emo,Amoz
jan,Jose,Joseph
kulupu,Palisajo,Pharisees
jan,Amita,Amittai
ante,Satan,Satan
kulupu jan,Sepa,Sabeans
kulupu jan,Katajan,Chaldeans
jan,Polo,Paul
jan,Temotejo,Timothy
jan,Pilemon,Philemon
jan,Akipo,Archippus
jan,Apija,Apphia
jan,Epapa,Epaphras
jan,Mako,Mark
jan,Alisako,Aristarchus
jan,Tema,Demas
jan,Luka,Luke
jan,Isaka,Isaac
jan,Awalon,Aaron
jan,Lasalo,Lazarus
jan,Simon Peto,Simon Peter
jan,Awalan,Abram
jan,Alawan,Abraham
jan,Sale,Sarai
jan,Sala,Sarah